Card,Performance
GeForce RTX 3090 Ti,10.0
GeForce RTX 3090,9.580204778156997
GeForce RTX 3080 Ti,9.19112627986348
GeForce RTX 3080,8.351535836177474
GeForce Quadro RTX A6000,7.890784982935154
GeForce Quadro RTX A5000,7.368600682593857
GeForce RTX 3070 Ti,6.354948805460751
GeForce Titan V,6.047781569965871
GeForce RTX 3070,5.945392491467577
GeForce RTX 3080 [Laptop],5.658703071672355
GeForce RTX 2080 Ti,5.546075085324232
GeForce RTX Titan,5.535836177474403
GeForce RTX 3060 Ti,5.341296928327645
GeForce RTX 3070 [Laptop],5.177474402730375
GeForce RTX 3060,4.15358361774744
GeForce Titan Pascal,4.071672354948806
GeForce RTX 2080 SUPER,3.979522184300341
GeForce RTX 3060 [Laptop],3.8771331058020477
GeForce GTX 1080 Ti,3.825938566552901
GeForce RTX 2080,3.795221843003413
GeForce Quadro RTX A4000,3.6518771331058018
GeForce RTX 2070 SUPER,3.6416382252559725
GeForce RTX 2070,3.4880546075085324
GeForce RTX 2060 SUPER,3.3344709897610922
GeForce RTX 2060,2.8532423208191124
GeForce GTX 1080,2.8225255972696246
GeForce RTX 3050,2.8122866894197953
GeForce GTX 1070 Ti,2.7713310580204777
GeForce RTX 3050 Ti [Laptop],2.5870307167235493
GeForce GTX 980 Ti,2.4436860068259385
GeForce GTX 1070,2.3924914675767917
GeForce GTX 1660 Ti,2.351535836177474
GeForce GTX 1660 SUPER,2.351535836177474
GeForce RTX 3050 [Laptop],2.341296928327645
GeForce GTX 1660,2.0955631399317403
GeForce GTX 1060,1.7986348122866893
GeForce GTX 980,1.7986348122866893
GeForce GTX 1650 SUPER,1.675767918088737
GeForce GTX 1650,1.4607508532423208
GeForce GTX 1050 Ti,1.1228668941979523
GeForce GTX 960,1.0614334470989761
GeForce GTX 1050,1.0
GeForce RTX 4090,10.0
GeForce RTX 4080 Ti,9.34256926952141
GeForce RTX 4080,8.707808564231737
GeForce RTX 4070,8.05037783375315
GeForce RTX 4060 Ti,6.259445843828715
GeForce RTX 4060,5.579345088161209
GeForce RTX 4050,3.856423173803526
GeForce GTX TITAN X,2.972292191435768
GeForce RTX 3050 Ti,2.972292191435768
GeForce RTX 2080 Mobile,2.9496221662468516
GeForce GTX 1080 Mobile,2.7455919395465993
GeForce RTX 2080 Max-Q,2.5642317380352644
GeForce RTX 2070 Mobile,2.5415617128463475
GeForce GTX 1660 Ti Mobile,2.5188916876574305
GeForce GTX 1080 Max-Q,2.4508816120906802
GeForce GTX 1070 Mobile,2.4508816120906802
GeForce RTX 2060 Mobile,2.2468513853904284
GeForce RTX 2070 Max-Q,2.224181360201511
GeForce GTX 1070 Max-Q,2.2015113350125946
GeForce GTX 1660 Ti Max-Q,2.133501259445844
GeForce GTX 1060 6GB,2.020151133501259
GeForce GTX TITAN BLACK,1.9974811083123425
GeForce GTX 1060 3GB,1.9521410579345089
GeForce GTX 780 Ti,1.906801007556675
GeForce GTX TITAN,1.8841309823677581
GeForce GTX 970,1.8614609571788412
GeForce GTX 1060 Mobile,1.748110831234257
GeForce GTX 980M,1.5894206549118386
GeForce GTX 980 Mobile,1.5894206549118386
GeForce GTX 980MX,1.5894206549118386
GeForce GTX 780,1.566750629722922
GeForce GTX 1060 Max-Q,1.566750629722922
GeForce GTX 770,1.3853904282115868
GeForce GTX 970M 6GB,1.36272040302267
GeForce GTX 970M,1.36272040302267
GeForce GTX 1650 Max-Q,1.3400503778337531
GeForce GTX 1650 Mobile,1.3400503778337531
GeForce GTX 1050 Ti Mobile,1.181360201511335
GeForce GTX 780M,1.181360201511335
GeForce GTX 760,1.1586901763224182
GeForce GTX 950,1.0680100755667505
GeForce RTX 3080 12GB,6.975990266324186
GeForce RTX 3080 Ti Laptop GPU,5.4524266594565365
GeForce RTX 3070 Ti Laptop GPU,4.928024874949304
GeForce RTX 3080 Laptop GPU,4.519697174530215
GeForce RTX 2060 12GB,4.331837231309991
GeForce RTX 3070 Laptop GPU,4.232797079897256
GeForce RTX 2080 (Mobile),4.15736109233473
GeForce RTX 2070 Super with Max-Q Design,3.9171826416114643
GeForce RTX 2080 Super with Max-Q Design,3.8166824388265517
GeForce RTX 2080 with Max-Q Design,3.70815195349466
GeForce RTX 3060 Laptop GPU,3.664593754224686
GeForce RTX 2070 (Mobile),3.487440854400433
GeForce RTX 2070 with Max-Q Design,3.386210625929431
GeForce GTX 1080 with Max-Q Design,3.275490063539273
GeForce RTX 3050 OEM,3.256022711910234
GeForce RTX 2060 (Mobile),3.2443423009328107
GeForce GTX 1070 (Mobile),3.0277680140597543
GeForce GTX 1660 Ti (Mobile),2.9574422062998513
GeForce GTX 1070 with Max-Q Design,2.922157631472219
GeForce RTX 3050 Ti Laptop GPU,2.8958767067730165
GeForce RTX 2060 with Max-Q Design,2.8438015411653375
GeForce GTX TITAN Z,2.7172637555765853
GeForce RTX 3050 Laptop GPU,2.7160470460997703
GeForce GTX TITAN Black,2.6807624712721374
GeForce GTX 1060 5GB,2.618953629849939
GeForce GTX 1660 Ti with Max-Q Design,2.5960794916858188
GeForce GTX 1060 (Mobile),2.4671082871434367
GeForce GTX Titan,2.464431526294444
GeForce GTX 1060 with Max-Q Design,2.412356360686765
GeForce GTX 1650 Ti,2.3094227389482223
GeForce GTX 1650 (Mobile),2.1770447478707586
GeForce GTX 970XM FORCE,2.1132891712856563
GeForce RTX 2050,2.069487630120319
GeForce MX570 A,2.026416114641071
GeForce GTX 1650 Ti with Max-Q Design,2.0261727727457077
GeForce GTX 1650 with Max-Q Design,1.9371096390428553
GeForce MX570,1.9363796133567663
GeForce GTX 1050 Ti (Mobile),1.9215357577396244
GeForce GTX 690,1.8383128295254834
GeForce GTX 680,1.8305258888738678
GeForce GTX 760 Ti OEM,1.8018115452210357
GeForce GTX 1050 Ti with Max-Q Design,1.7884277409760714
GeForce GTX 670,1.7696904150331216
GeForce GTX 1050 3GB,1.746572934973638
GeForce GTX 760 Ti,1.7271055833445992
GeForce GTX 1630,1.6889009057726105
GeForce MX550,1.5978910369068542
GeForce GTX 580,1.585480600243342
GeForce GTX 1050 (Mobile),1.566986616195755
GeForce GTX 660 Ti,1.5453291875084494
GeForce GTX 680MX,1.5205083141814248
GeForce GTX 775M,1.520021630390699
GeForce GTX 480,1.4730566445856428
GeForce GTX 660,1.453345951061241
GeForce GTX 750 Ti,1.4326618899553873
GeForce GTX 570,1.4321752061646613
GeForce GTX 1050 with Max-Q Design,1.4131945383263487
GeForce GTX 965M,1.4007841016628362
GeForce GTX 880M,1.391050425848317
GeForce MX450,1.3856969041503313
GeForce GTX 680M KY_Bullet Edition,1.3496823036366095
GeForce GTX 870M,1.3124509936460727
GeForce GTX 960M,1.3078274976341762
GeForce GTX 750,1.3032040016222792
GeForce GTX 590,1.2966337704474786
GeForce GTX 650 Ti BOOST,1.2898201973773151
GeForce 770M,1.2710828714343654
GeForce GTX 680M,1.2518588617006894
GeForce GTX 470,1.2379883736649993
GeForce GTX 560 Ti,1.2197377315127755
GeForce GTX 860M,1.2194943896174124
GeForce MX350,1.1737461132891713
GeForce GTX 770M,1.1630390698932
GeForce GTX 560,1.1404082736244423
GeForce GTX 465,1.1343247262403677
GeForce GTX 950M,1.11412734892524
GeForce GTX 850M,1.1039069893199946
GeForce GTX 650 Ti,1.09782344193592
GeForce GT 1030,1.0934432878193863
GeForce MX330,1.0902798431796674
GeForce GTX 950A,1.0893064755982156
GeForce MX250,1.0861430309584967
GeForce GTX 960A,1.0678923888062728
GeForce GTX 485M,1.0554819521427605
GeForce GTX 675MX,1.0501284304447749
GeForce MX150,1.0384480194673515
GeForce GTX 460,1.0309044207110991
GeForce GTX 745,1.0075435987562524
